Субъект России,"Население, чел","Площадь,км²","Плотность населения, чел/км²",Заболевшие за неделю,Заболевшие за сутки,"Заболевшие за неделю, %","Средняя вероятность, %/сутки"
Алтайский край,2296353,167996,14.0,2961,510,0.12894359011876658,0.022209128997153313
Амурская область,781846,361908,2.0,1124,203,0.14376232659628624,0.02596419243687376
Архангельская область,1127051,589913,2.0,2791,469,0.24763741835995,0.041613023722972604
Астраханская область,997778,49024,20.0,1543,260,0.15464361811946145,0.02605790065525598
Белгородская область,1541259,27134,57.0,2115,340,0.13722547605561428,0.02205988740373941
Брянская область,1182682,34857,34.0,3077,522,0.26017137320091116,0.044136970039283595
Владимирская область,1342099,29084,46.0,1936,324,0.14425165356654018,0.02414128912993751
Волгоградская область,2474556,112877,22.0,2734,461,0.11048446670837112,0.018629604664432732
Вологодская область,1151042,144527,8.0,2307,396,0.2004270912790324,0.0344036099464659
Воронежская область,2305608,52216,44.0,4792,796,0.20784105537454764,0.0345245158760726
Еврейская авт. область,156500,36271,4.0,277,44,0.1769968051118211,0.028115015974440893
Забайкальский край,1053485,431892,2.0,2213,369,0.2100646900525399,0.035026602182280715
Ивановская область,987032,21437,46.0,1361,228,0.1378881333128004,0.023099555029624165
Иркутская область,2375021,774846,3.0,3080,541,0.12968306385501435,0.022778745956351543
Кабардино-Балкарская Респ.,869191,12470,70.0,794,135,0.09134931217649515,0.015531684060235322
Калининградская область,1018624,15125,67.0,2328,392,0.22854360392058304,0.038483287258105056
Калужская область,1000980,29777,34.0,1182,207,0.11808427740814002,0.0206797338608164
Камчатский край,311667,464275,1.0,273,47,0.08759348920482439,0.015080197775189545
Карачаево-Черкесская Респ.,465357,14277,33.0,513,86,0.1102379463508661,0.018480435450632524
Кемеровская область,2633446,95725,28.0,1880,326,0.07138935068347708,0.01237921719298592
Кировская область,1250173,120374,10.0,1574,262,0.12590257508360841,0.020957099537424022
Костромская область,628423,60211,10.0,1236,207,0.19668280759933993,0.032939596418336055
Краснодарский край,5683947,75485,75.0,1798,313,0.03163294802009941,0.005506736779917195
